City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
243,Gogrial,SS,2021-08-12 13:33:55,8.5332,28.1004,85.03,61,75,4.25
244,Kaitangata,NZ,2021-08-12 13:33:55,-46.2817,169.8464,45.9,91,84,6.87
245,Tashla,RU,2021-08-12 13:33:55,51.7716,52.7427,85.41,17,3,9.93
246,Aranos,NA,2021-08-12 13:33:55,-24.1333,19.1167,73.83,15,12,9.91
247,Labuhan,ID,2021-08-12 13:33:56,-6.8844,112.2051,78.19,83,40,6.89
248,Palmer,US,2021-08-12 13:33:56,42.1584,-72.3287,84.99,77,75,5.75
249,Lom Sak,TH,2021-08-12 13:33:56,16.7798,101.2422,79.23,87,100,2.37
250,Acari,PE,2021-08-12 13:33:56,-15.4311,-74.6158,70.36,51,64,4.88
251,Naze,JP,2021-08-12 13:33:56,28.3667,129.4833,78.24,86,91,20.49
252,Mezen,RU,2021-08-12 13:33:57,65.8522,44.24,70.86,59,99,2.39
253,Coracao De Jesus,BR,2021-08-12 13:33:57,-16.6853,-44.365,77.72,27,82,9.08
254,Udachnyy,RU,2021-08-12 13:33:57,66.4167,112.4,63.72,53,100,3.56
255,Broken Hill,AU,2021-08-12 13:31:06,-31.95,141.4333,46.11,61,4,6.91
256,Hay River,CA,2021-08-12 13:33:58,60.8156,-115.7999,49.98,87,75,3.44
257,Dingle,PH,2021-08-12 13:33:58,10.9995,122.6711,78.12,80,100,5.75
258,Atambua,ID,2021-08-12 13:33:58,-9.1061,124.8925,72.32,88,32,5.68
259,Mayo,US,2021-08-12 13:33:59,38.8876,-76.5119,84.94,84,1,1.01
260,Terrace,CA,2021-08-12 13:33:59,54.5163,-128.6035,57.11,88,20,5.75
261,Winton,US,2021-08-12 13:33:59,37.3894,-120.6133,88.34,40,1,8.05
262,Ostrovnoy,RU,2021-08-12 13:33:59,68.0531,39.5131,67.75,55,73,4.05
263,Saint-Joseph,RE,2021-08-12 13:34:00,-21.3667,55.6167,75.56,82,45,6.06
264,Gold Coast,AU,2021-08-12 13:34:00,-28.0,153.4333,64.0,87,90,1.01
265,Njinikom,CM,2021-08-12 13:34:00,6.2333,10.2833,64.56,96,100,2.98
266,Sambava,MG,2021-08-12 13:34:00,-14.2667,50.1667,73.17,84,6,8.99
267,Morgan City,US,2021-08-12 13:34:01,29.6994,-91.2068,84.0,100,1,3.44
268,Roma,US,2021-08-12 13:29:01,43.2128,-75.4557,82.26,86,20,6.91
269,Montepuez,MZ,2021-08-12 13:34:01,-13.1256,38.9997,83.64,23,6,3.24
270,Vanavara,RU,2021-08-12 13:34:01,60.34,102.2797,64.45,59,46,5.57
271,Innisfail,AU,2021-08-12 13:34:02,-17.5333,146.0333,68.25,92,59,4.92
272,Flinders,AU,2021-08-12 13:34:02,-34.5833,150.8552,52.81,71,0,1.01
273,Lufilufi,WS,2021-08-12 13:34:02,-13.8745,-171.5986,73.18,74,9,11.61
274,Nushki,PK,2021-08-12 13:34:02,29.5542,66.0215,94.62,6,6,4.41
275,Nouakchott,MR,2021-08-12 13:34:03,18.0858,-15.9785,107.53,39,6,11.63
276,Rumphi,MW,2021-08-12 13:34:03,-11.0186,33.8575,78.49,30,0,9.75
277,Geraldton,AU,2021-08-12 13:29:05,-28.7667,114.6,46.81,93,5,5.75
278,Swan Hill,AU,2021-08-12 13:34:03,-35.3378,143.5544,52.59,71,100,5.68
279,Sassandra,CI,2021-08-12 13:34:04,4.95,-6.0833,78.42,78,100,10.11
280,Thunder Bay,CA,2021-08-12 13:34:04,48.4001,-89.3168,71.56,62,20,14.97
281,Bambanglipuro,ID,2021-08-12 13:34:04,-7.95,110.2833,76.3,86,74,11.77
282,Havoysund,NO,2021-08-12 13:34:04,70.9963,24.6622,56.28,91,96,15.19
283,Belaya Gora,RU,2021-08-12 13:34:04,68.5333,146.4167,58.59,90,95,3.02
284,Matamoros,MX,2021-08-12 13:34:05,25.5333,-103.25,75.31,53,75,0.0
285,Olinda,BR,2021-08-12 13:33:35,-8.0089,-34.8553,76.73,88,40,3.44
286,Staroutkinsk,RU,2021-08-12 13:34:05,57.2302,59.3348,66.45,58,31,3.74
287,Da Nang,VN,2021-08-12 13:34:05,16.0678,108.2208,87.85,83,75,9.22
288,Polovinnoye,RU,2021-08-12 13:34:06,54.7914,65.9864,66.07,44,47,11.86
289,Champoton,MX,2021-08-12 13:34:06,19.35,-90.7167,73.42,76,46,6.55
290,Belmonte,BR,2021-08-12 13:34:06,-15.8631,-38.8828,70.3,60,75,6.91
291,Mandalgovi,MN,2021-08-12 13:34:06,45.7625,106.2708,68.79,43,97,5.53
